,Quotes,Characters
18732,What a thoughtful and considerate thing to say  What the hells wrong with you,Leela
18734,If you see any steaks thatd be good,Leela
18735,Why isnt Leela back yet  Do you think shes okay,Fry
18736,How should I know  And how come you never ask if Im okay  Im feelin a little neglected here,Bender
18737,Oh sorry Are you okay Bender,Fry
18742,Belay that Parcheesi tournament Ive identified the death sphere We may yet have a faint hope of survival,Farnsworth
18744,This is a top secret military satellite launched by the Air Force in 1998,Farnsworth
18745,And this is a top secret FCC satellite launched that same year to censor indecent TV programs,Farnsworth
18746,Like The Pimpsons And Assarama,Bender
18747,Precisely  However the satellites collided shortly after launch and were never heard from again,Farnsworth
18749,Now Ive simulated that collision using Shrapnovision,Farnsworth
18750,Granted all that makes perfect sense but why is this death sphere destroying planets,Fry
18751,That makes the most sense of all  And finally that world that cant be mentioned in polite company,Farnsworth
18757,Indeed  And were next if we cant keep it in our collective pants  Our sole hope is to persuade the people of Earth to abandon their smutty ways,Farnsworth
18759,So thirsty  Why couldnt a water fountain have fallen on me,Leela
18765,So were stuck here until someone finds us,Leela
18767,Well theres worse places to be marooned  Plenty of food mild climate,Leela
18771,Did that snake say Hello,Leela
18774,We can still save Earth  People are sure to clean up their act when presented with cold hard facts by rational folks like us,Farnsworth
18775,The end is near Repent thy sins,Farnsworth
18777,Dont do it Its not worth it,Fry
18780,Adult bookstore  I thought this was the public library,Fry
18782,Zapp  Where are you  Oh God Im actually starting to miss him,Leela
18784,We do not  And you cant talk,Leela
18786,I do miss the Earth terribly  I wonder if its even still there,Leela
18790,I know my new plan is a long shot but its the only hope left,Farnsworth
18792,Indeed  Were here on Earths last unspoiled acre to show the death sphere theres still purity in the world  Begin transmitting,Farnsworth
18794,Hey Im proud of you Bender Avoiding sin for almost a full minute   Bender,Fry
18795,"Aw yeah baby Youre quite a dish

Farnsworth",Bender
18796,Aw quiet you riot  Whats the worst that could happen,Bender
18800,Maybe  Maybe this was meant to be Maybe you and I were meant to build a new world here,Leela
18806,Its a sick and twisted book of holiness all right,Leela
18808,Lets do it  I shall become the mother of a new world trapped here under this tree  Come here Adam partake of my forbidden fruit,Leela
18810,Wait  One more bite before we begin the begetting,Leela
18813,So this is the trail mix Fry gave me,Leela
18815,Well your motives were good  And we were both loopy from dehydration  Hey wait  Youve been doing an awful lot of urinating,Leela
18817,Then why didnt you give me any,Leela
18819,So you let me dehydrate while you washed down the trail mix with imported mineral water,Leela
18822,Its because I havent been exercising  If only this tree hadnt fallen on me by chance   Oh dear God,Leela
18826,You couldve moved this grubinfested log anytime you wanted,Leela
18828,Id leave you to rot in this paradise if only the ship werent destroyed  The ships fully functional isnt it,Leela
18832,So we can go back to Earth  But there is no Earth anymore  Everyone I know is dead,Leela
18833,Ah this seems like a good place to take a dump,Fry
18836,But I saw Earth explode,Leela
18839,You said there wasnt any toilet paper  And that humanity was annihilated,Leela
18843,"There must be somethin to steal on this island  Hey its Leela
 Yet",Bender
18847,Huzzah  The purity chant worked,Farnsworth
18849,Were not Adam and Eve  You see due to a series of,Leela
18851,Well if its to save Earth II guess I could take one for the team,Leela
18855,Move it  I gotta get home and do laundry,Leela
18856,For Gods sake censor it CENSOR IT,Fry
18858,NOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,Fry
18861,Oh Zapp lets save another planet right now,Leela
18866,So long overly complicated Japanese toilet,Leela
18868,Sorry you know too much,Fry
18869,Seems like a good place to ditch some evidence  Flexo  What are you doin in a hazardous wastebin,Bender
18871,Who were you talking to,Farnsworth
18872,No one Your mama Shut up Take your pick,Bender
18877,Theres nothing wrong with our clunker,Leela
18879,No thanks Were delivering ewaste,Leela
18884,What smells like bloody sinuses,Fry
18886,Uch  Thats the worst thing Ive ever seen,Leela
18888,Thats even more horrific Is all the work done by children,Leela
18891,The batteries in the remote are gettin low,Bender
18892,No Put that back and turn it on,Leela
18893,I was just tryin to help,Bender
18897,A new eyePhone Forget this junk,Leela
18905,Come on  Lets buy some eyePhones on line,Leela
18906,Wait  I thought we were buying our eyePhones online,Fry
18908,But I thought the Mom Store was across town,Fry
18911,I feel like a mindless zombie  I wish I knew how long weve been waiting,Fry
18913,Is there an app for kissin my shiny metal ass,Bender
18916,Oh no  The light  I guess Im off to Hell,Farnsworth
18925,Shut up and take my money,Fry
18927,Say youre from one of those ethnicities that knows about technology  Whys it called an eyePhone,Fry
18938,No wonder traditional media is dead  Check out this webisode of Hypnotoad,Fry
18939,Enjoy your outdated format Grandpa   Nowadays cool kids like me mash up our own phoneisodes,Bender
18943,Oh my God Its Bender Hell save us,Bender
18944,Whats happening to me  Is it puberty,Fry
18945,Its a phone call dingus,Bender
18946,These eyePhones are phones too,Fry
18949,Hi Fry  Did you know these eyePhones are phones too,Leela
18950,Duh  Hey is it safe to talk while youre flying,Fry
18953,Hey check out this Internet video of some idiot crashing her spaceship,Bender
18955,The eyePhone records everything  All I did was add a laugh track and twit it to my 10000 followers,Bender
18956,Oh that reminds me  Its time to twit my hourly twupdate  Scratchin my underarm fungus  Lookin for love  Send,Fry
18966,Ooh can I somehow charge it to my eyePhone for an additional fee,Fry
18970,Duh Thats why we all came over here for lunch Send,Leela
18971,Can you believe 50000 idiots swallow that crap Send Oops,Bender
18972,You have 50000 followers I only have three Send,Fry
18973,I unsubscribed yesterday,Leela
18974,I got the most followers cuz I give the people what they want like this video of you doin karate in your underpants,Bender
18977,That is low Bender  Even by your standards,Fry
18979,Since when is the internet about robbing people of their privacy,Fry
18981,Ill bet I can get as many followers as you without sinking to your level  What do you say  First one to a million followers wins a buck,Fry
18983,What happens to the loser,Fry
18984,Lets make it interesting,Bender
18986,Because the loser of our bet has to do a double somersault into a tub of alien goat vomit,Bender
18987,Wait  Lets make it interestinger  Vomit and diarrhea,Fry
18988,Good idea  That way we dont waste an end,Bender
18989,Eg its putrid What do you feed him,Leela
18990,"What comes out one end we feed to the other  Also Indian food  Let the contest begin
 Are you dumb bastards listening to me you dumb bastards",Bender
19000,Oh God Im gonna lose the bet  Im gonna have to swim in the juice of the pukemepoopyu,Fry
19002,Trust me I want twits that tittle,Fry
19003,Then youre gonna have to sink to Benders level Stop acting like the Queen of England,Leela
19005,Whose that  The Queen of England,Fry
19007,That was odd  Whered that singing come from,Fry
19010,"When hope was high and life worth living
I dreamed that love would never die",Leela
19015,You have a boil on your butt that sings showtunes with you,Fry
19016,Dont look at me  Im a freak,Leela
19018,Ive been ashamed of Susan as long as I can remember,Leela
19019,You named your boil Susan,Fry
19022,Its hard enough being a cyclops but if anyone found out about Susan Id be devastated,Leela
19024,Woah gross  Million follower gross,Fry
19025,Fry delete that Delete that right now,Leela
19027,So much for a pleasant swim in vomit,Bender
19031,Thanks Fry  Youre a good friend,Leela
19039,No Its humiliating and degrading to Leela  Play it ten more times,Farnsworth
19040,not swimming in barf might ease my conscience,Fry
19042,Thats why we cant let her see this  Leela lock the doors so Leela doesntEEEEE,Fry
19045,"Hes in a better place now
  Mmhmm",Bender
19046,Impending news everyone  Were about to learn the winner of the bet,Farnsworth
19047,"Oh boy oh boy oh boy 
Bender",Bender
19049,Alright a tie I win again,Bender
19056,Okay Im a freak with a singing butt boil but Im still a human being more or less,Leela
19060,So my humiliation is over,Leela
19065,Aaah  Im sick of my head doing things  Leela,Fry
19066,Fry I came to talk to you,Leela
19067,No I came to talk to you,Fry
19068,It looked like you were just sitting there but whatever,Leela
19069,I am so so sorry for what I did  And I know I can never make it up to you,Fry
19070,You dont have to apologize  In fact I came to thank you,Leela
19071,I think you mean hit me,Fry
19072,Everyone knows my secret but no one cares  I have nothing to hide anymore  Oh Fry thanks to your selfish rudeness a terrible weight has been lifted from my heart,Leela
19074,Susan and I are agreed  For the first time in our lives were not ashamed of who we are,Leela
19076,Come here   What stinks  Were you rolling around in New Jersey,Leela
19077,Leela I knew I could never make it up to you so I did the next best thing  I put myself through the same humiliation I put you through,Fry
19078,Aw you didnt have to do that,Leela
19080,Dont worry  By tomorrow no one will remember,Leela
19095,That is one sexy bridge abutment,Bender
19097,The key is knowing precisely where to strike  Oops,Bender
19109,Yo Amy Im in the slammer,Bender
19111,Thats enough lip from you moneybags Just get 5 grand an bail me out,Bender
19113,Yeah you do You know that floor safe where you keep 10 grand Theres 5 grand in there Dont make me wait,Bender
19115,I better carve a shiv for protection,Bender
19117,Oh Thank God  Tell me have things changed on the outside Is food finally in pill form What about pills Are they in food form,Bender
19130,Heres to Amy single lonely and fabulous,Leela
19132,Yeah the game of Old Maid,Bender
19134,Youre damn right And before you ask this is mine too,Bender
19135,Tough break Amy Are you and Kif getting divorced,Fry
19137,Wow The interesting thing about that is,Bender
19138,So Amy how can I phrase this delicately Why did Kif dump you like a sack of yesterdays turds,Leela
19140,The truth is often stupid,Bender
19142,Shut up baby you love it,Bender
19146,Shut up  Come over here,Bender
19148,Got it Ill show the utmost discretion as we get nasty in this glass tube,Bender
19150,I thought circusitis only affected children,Leela
19153,Uh Blood You know from shaving of the facebeard,Bender
19154,Amy are those gear imprints on your sweatpants,Fry
19156,I only brought it up because Bender is wearing them,Fry
19157,Uh I stole them from her Yeah thats it call the cops,Bender
19159,Amy I reckon sweet talk dont come natural to me but of everyone Ive ever dated you are probably in the top ten,Bender
19164,Look A single mother Lets get her,Bender
19165,Quickly into the ships basement  Thats why I need you folks to get out there and harvest a nice ripe one This cattle prod should help,Farnsworth
19168,Is everybody in position,Leela
19174,Wait Im not in position,Bender
19177,Im not hearing anyone Abort mission,Leela
19180,Honestly that went better than I expected,Leela
19181,I just need to reduce it down into this pickle jar toss in a bay leaf to impress those stupid judges,Farnsworth
19182,Hey wheres Amy and Bender,Fry
19186,And thats Benders hat from the Players ball,Fry
19188,Oh the humanity Also Bender,Farnsworth
19192,A pair of deviant robosexuals Not under my roof,Farnsworth
19194,Get your mind out of the gutter,Farnsworth
19195,What about in the gutter,Bender
19196,Professor there is nothing wrong with robosexuality,Leela
19203,Uhoh not the innocent whistling,Bender
19222,What about this gross ugly smelly loser,Fry
19224,Im here to rescue Amy uh from her robosexual desires,Fry
19232,Oh Amy I wonder where you are right now,Bender
19234,That answers that Wait Amy,Bender
19236,Fry Leela Youre in there too Blech,Bender
19238,Listen up everybody I love Amy and Im tired of pussyfootcupping around I finally found someone I want to spend the rest of her life with Amy  will you marry me,Bender
19240,Oh Im just glad I didnt live to see this day Wait a second  No,Farnsworth
19242,Horray denied Need I remind you that robosexual marriage is illegal,Farnsworth
19243,Not in Space Massachusetts,Leela
19244,You mean Spacetaxachusetts No chance stretch pants Were gonna fight to legalize it right here,Bender
19248,Cool Can you turn into a race car,Fry
19253,Every other couple has the right to marry robot and fembot,Bender
19255,Interracial  but not robot and human,Bender
19257,If you hate intolerance and begin punched in the face by me please support Proposition Infinity,Bender
19258,"Damn it

 As election day nears prop infinity seems doomed to certain defeat",Bender
19267,But we still have one hope my big televised debate Im our A in the hole,Bender
19268,Professor whos debating for your side,Fry
19269,Oh that guy you know I forget his name,Farnsworth
19272,Ladies and gentlemen of the jury I Oops Sorry force of habit I support this proposition because I love a goopy fleshandblood woman and not surprisingly she loves me This is a simple matter of justice which Im not normally for So please vote yes After all our love isnt any different than yours except its hotter cause Im involved,Bender
19274,This 4 coffee pot talks about love but what he describes is perversion,Farnsworth
19275,You wouldnt know perversion if it put clamps on your testicles Youre just jealous cause youve never known true love,Bender
19276,Oh no Back when I was full of piss and vinegar and my bed wasnt I fell in love with the sweetest girl to ever skip through a field of posies  How could she do that to me her Farnypoo,Farnsworth
19278,She didnt just leave me for a robot She was a robot,Farnsworth
19284,Woohoo Yeah  Monogamous,Bender
19290,Me Um can I phone a friend,Fry
19292,I didnt come to play I came to win Now lets play,Fry
19296,I never stop to think about it,Fry
19297,Aw leave Fry alone His intelligence is just a little differenty,Leela
19299,Hey Im begining to think you guys dont think Im very smart,Fry
19300,You can barely remember your own name Einstein,Farnsworth
19301,Einstein is a hard name to remember  Ow,Fry
19303,Not distant enough Ill be a monkeys uncle if Im this monkeys nephew,Farnsworth
19304,But youre my only family Who will hug me if I achieve something,Fry
19305,Oh perhaps Ive been too harsh Come lad take my hand and Ill explain why I find you so repugnant,Farnsworth
19306,All my life Ive been inspired by great minds Euclid Copernicus Braino And my personal role model Leonardo da Vinci,Farnsworth
19307,What turned them to stone,Fry
19308,Voilà He invented flying machines war engines submarines,Farnsworth
19309,Uhoh Nibbler died in the wall,Fry
19310,Thats not Nibbler Thats my most precious possession Leonardos beard I paid a fortune for it at an auction of historic body parts I suppose if I have an Achilles heel its because I bought it at that same auction,Farnsworth
19311,Indeed so Most indeededly,Fry
19312,Careful with that you fool,Farnsworth
19314,Oh my Its da Vincis fabled lost invention Even the scholars who wrote of this device had no idea what it was for And now at least neither do I,Farnsworth
19315,Maybe we can figure it out,Fry
19317,Well I may not have brain smarts but at least I have street smarts,Fry
19318,I was in the hospital two weeks No one visited me,Fry
19319,Quiet you Im trying to deduce the function of da Vincis lost invention,Farnsworth
19322,Im back Everyone at Kinkos was an idiot so I just brought the original,Bender
19325,Thats the great thing about that hand,Bender
19328,Thats true Dr Zoidberg How did you know that,Farnsworth
19330,Lets see whats under the Last Supper,Farnsworth
19334,My God Saint James was a robot,Leela
19336,My God This is the greatest mystery of all time We must fly to Rome and exhume the body of Saint James,Farnsworth
19339,Psst Leela wanna join the MileDeep Club,Fry
19342,Roman numerals Ive got it Were in Rome,Fry
19344,Brothers and sisters let us pry,Bender
19345,Its true Saint James really was a robot,Farnsworth
19346,I bet hes up in Robot Heaven right now So he wont miss his eyes,Bender
19347,My God Robot Saint James is a zombie,Fry
19349,Enough of your lies Saint James We saw you in the Last Supper,Bender
19353,You personally knew da Vinci,Farnsworth
19358,Where is the great fountain,Leela
19360,Why does a robot need a codpiece,Bender
19364,And so dies our hope of solving this mystery Come on gang lets go home Wait Lets not give up so easily Animatronio mentioned a fountain  Thats a statue of Neptune god of water The number of points on him trident is three or trey The u in his name is written like v Trey v Trevi Its the Trevi Fountain There can be no question,Farnsworth
19366,There can be no question,Farnsworth
19367,Wow it hasnt changed in a thousand years,Fry
19368,Okay everyone into the fountain,Farnsworth
19369,What are you senile Im not jumping in there,Bender
19372,Quickly into the sewer hole,Farnsworth
19375,My god Its the Pantheon,Farnsworth
19376,This place is 3000 years old What could possibly be left to discover,Leela
19377,Maybe something about ourselves Leela Wait Whats under that blanket  My God da Vincis Vitruvian Man,Farnsworth
19378,Its truly a masterpiece Note how the perspective lines draw the eye right to his dong,Fry
19381,Its a coin slot Bender insert that giant nickel,Farnsworth
19384,Da Vincis lost workshop,Farnsworth
19385,At the risk of sounding stupid do these things actually work,Fry
19386,Of course not stupid  I mean that flying machine is as aerodynamic as a sofa How could it possibly get off the ground,Farnsworth
19390,All right buddy we want secrets And they better be ancient,Bender
19394,Youre right Professor This thing doesnt fly,Fry
19395,Dont sit in there you idiot Thats dangerous,Farnsworth
19398,My God Why would Leonardos machines brought us here,Farnsworth
19399,I dont know Lets ask this guy,Fry
19402,Thats what I was gonna say,Fry
19403,Leonardo Youre alive Here,Farnsworth
19406,Its an honor to meet you Leonardo And may I say you were great in Titanic The Beach Neh,Fry
19407,Thats Leonardo DiCaprio you blockhead,Farnsworth
19408,Looks like eating rocks wasnt as dumb as you said,Fry
19409,So what do people do for fun here,Fry
19415,Ooh Im going to check out that math lecture,Farnsworth
19417,No It would just go in one ear and out some other hole,Fry
19419,Now that I can do  I have a terrible secret to confess Mr DiCaprio Im not very smart,Fry
19421,I dont even know what language youre speaking,Fry
19423,What Who possibly think youre stupid,Fry
19427,He looks stronger than you too,Fry
19429,I can see myself in your shiny button,Fry
19433,That calculus lecture was harder than I expected We had to answer every question in the form of an opera I have a lot of homework for tomorrow if I dont want to be  Embarrassed,Farnsworth
19438,And I helped Wait You told me it was an unstoppable ice cream machine,Fry
19443,Leonardo stop  I want in on this,Farnsworth
19444,Are you crazy Professor,Fry
19445,I hate these nerds Just because Im stupider than them they think theyre smarter than me Kill them all starting with the math teacher,Farnsworth
19446,I knew this final invention would be a humdinger,Farnsworth
19448,I dont think so You two make me ashamed to call myself an idiot  Theres always going to someone smarter than you so the only way to be happy is to make the most of what youve got,Fry
19450,Oh no Ive got one single nail and another nail to nail it in with And Im gonna stop this infernal ice cream machine once and for all,Fry
19455,Fry I admire what you did today and Im deeply sorry for insulting your intellect Your tiny tiny intellect Oops there I go again you dope I mean dummy,Farnsworth
19456,Its okay I may not be clever but I have a good heart Thats what my mom used to say,Fry
19458,Also that Im not much to look at,Fry
19460,I fear I may not survive this war reenactment I cant believe were only twelve feet from the parking lot,Farnsworth
19461,This is every bit as fun as the real Civil War,Fry
19462,Not the Civil War private Were reinacting the Sithil War,Leela
19464,Enemy invaders Up in yonder sky,Bender
19466,Darth Stroyer Thats the stupidest name Ive ever heard,Fry
19479,Its payback time Sploder,Fry
19485,If you were really dead you wouldnt be laughing so hard,Fry
19486,Yeah yeah Deaths a big deal to you flesh bags But in case you didnt notice Im a robot,Bender
19487,So What if something heavy fell on you like a church You could still die,Fry
19488,Nuhuh My wireless backup unit saves a copy of me every day So if my body gets killed big whoop I just download into another body Im immortal baby,Bender
19490,I never said I wasnt a drama queen,Bender
19492,Hurry up you numbercrunching crumbnuncher Everybody but me is dying of old age,Bender
19495,It may have been a fake war but my scuffed knee is all too real,Fry
19496,I have pain in joints I had removed a century ago Bender bring me my soft chair with the wheels on it,Farnsworth
19498,I dont need a wheelchair The one with the wheels,Farnsworth
19499,Poor flimsy humans Dont you wish you were flawless like me A towering inferno of physical perfection,Bender
19500,I hate to pop your blimplike ego but youre not perfect,Leela
19505,Says the only human whose opinion I even remotely respect  Inspector 5 the best inspector a kid could want The day I was built he looked me over probably with tears of pride in his eyes and proclaimed to all the world by means of this scrap of paper that I was perfect and infallible in every way,Bender
19506,Hey Mr Perfect You wet the chair,Farnsworth
19507,Huh Wasnt me Must be some of that urine your all so proud of,Bender
19508,Thats not urine its oil,Fry
19509,Impossible Im triple sealed to prevent any chance of ,Bender
19511,What could have caused the leak Excessive heat on the count that Im so hot,Bender
19512,Alas no Oh Bender Im afraid its a symptom of a fatal defect,Farnsworth
19513,Yeah fatal schmatal If I die I can just download my backup copy into a new equally fabulous body,Bender
19514,Thats just it You cant You were built without a backup unit,Farnsworth
19515,Theres no backup copy of me,Bender
19516,Thats what I just said you mortal coil,Farnsworth
19518,You die Or as you put it,Farnsworth
19520,I cant believe it Im gonna die,Bender
19521,How much time does he have left Professor,Fry
19522,Between a minute and a billion years,Farnsworth
19523,Well at least you can plan accordingly,Fry
19524,Dying sucks butt How do you living beings cope with mortality,Bender
19527,Thanks to denial Im immortal,Fry
19528,Damn it Im supposed to be perfect Inspector 5 gave me his blessing  How could he bring me into this world knowing I gonna die,Bender
19530,Yes anything less than immortality is a complete waste of time,Bender
19532,Not until I hunt down Inspector 5 and beat an explanation out of him,Bender
19533,Im all for a good beating but youll never find him Product inspectors are bureaucrats faceless bean counters who blend into the woodwork,Leela
19535,Stinking bureaucrats I hate em,Bender
19536,Then again you might be able to find Inspector 5 with the help of another seasoned bureaucrat,Leela
19553,Wow Until now I thought giant cubes were exciting,Bender
19554,I did like the part where they screamed,Bender
19564,You locate Inspector 5 while I slip into my asskicking feet,Bender
19566,Aw man How am I going to find some anonymous guy I dont know anything about,Bender
19568,Okay Just filing alphabetically  Im a natural,Leela
19572,But 5s the one we want Maybe if I kicked the asses of Inspector 2 plus Inspector 3,Bender
19574,So Im doomed to die And Ill never even get to punch whoevers responsible Oh whats the point,Bender
19576,Its not a suicide booth you lardass Its a phone booth,Bender
19579,Is this the robot company Cause I have a complaint about a defective robot His name is me,Bender
19581,Well things are starting to look up,Bender
19583,No I just told the robot company I was defective,Bender
19585,Big whoop Ill just download into a new Oh right If I die I die Speaking of which,Bender
19587,I cant run anymore Ill have to skip,Bender
19589,A pile of dead bears can only mean one thing But what,Bender
19595,But Im not design to bend that low not without limbo music  Thatll do it Ow Ow Ow,Bender
19600,Hermes Hermes Remember that flock of bats,Bender
19605,Hey Were just a stones throw from Tijuana  See,Bender
19607,Is it within city limits,Bender
19611,Sure No wait I was built in Tijuana Maybe Inspector 5 still works there He better do some splaining Before I mash up some face guacamole,Bender
19612,Hes Mexican Im Mexican Let me handle this,Bender
19617,Nice work butterball You know I was in Italy last week,Bender
19618,My birthplace Its closed Theres not even a shrine to me With a gift shop selling piñatas of me,Bender
19620,No wait Whats that in the Mexican garbage,Bender
19622,No next to that  His assias is gracias,Bender
19623,Where are you hiding you coward Get out here and get murdered like a man,Bender
19625,Oh yeah Well maybe this is him in a costume  Im gonna squeeze you out of there like Tijuana toothpaste,Bender
19629,You know what Youre right He was just a stupid bureaucrat A stupid paperpushing bureaucrat A stupid Idotting chair squashing  Help Im gonna die Thats the opposite of what I want,Bender
19631,You know that terminals unhackable Im not leaving you and thats final  Good luck buddy,Bender
19636,Yeah All right Yeah  He did it And hes not even looking back at that cool explosion Hes a hero,Bender
19638,Ah This place never changes,Bender
19640,Too much papers Not enough hiding plants,Leela
19642,You make it look so easy,Leela
19644,Hey Bender Did you ever find that inspector guy you were looking for,Fry
19649,Wake up already  Now can we get some privacy,Bender
19651,Okay hambone breaks over Back to the bedroom,Bender
19652,Hambone Hambone Hambone,Bender
19653,Wake up and feel the coffee,Bender
19654,Oh no Im late for work again,Fry
19656,Well well well Look who decided to show up,Bender
19657,Ive had it with your tardiness Fry I expect you to arrive the same time as everyone else,Farnsworth
19658,Well wait a second Leelas not here yet,Fry
19666,I really would like you to stop singing,Leela
19669,Ooh nice cake Sorry Im late,Fry
19672,I was But then I realised its actually my fault for thinking you might be on time for once  Anyhow I ate both our lunches You ordered the Lobster Pilé It wasnt cheap,Leela
19674,Please let me make it up to you Ill treat you to a fancy birthday dinner tonight at Cavern on the Green,Fry
19675,Wow Thatll be the nicest place Ive ever been stood up,Leela
19676,Not this time No matter what happens Ill swear I be there,Fry
19677,Guys guys Hedonism bot is finally settling down and marrying a nice house in the suburb  But tonight hes having the girls gone wildest bachelor party of all time,Bender
19678,Woohoohoohoo   cares Im having dinner with Leela,Fry
19679,Just go to your stupid party We can have dinner on my birthday some other year,Leela
19680,No I can throw up on a stripper anytime Tonight I wanna not throw up On you,Fry
19682,Your loss  Hey Professor youre my wingman,Bender
19683,Very well Eh Cubert fetch my drinking teeth,Farnsworth
19684,I just have to sign Leelas birthday card How do you spell XO,Fry
19686,Does it have to be nude,Fry
19688,If I leave now record a birthday greeting on the way score some fancy cologne at the newsstand Ill be exactly on time,Fry
19689,Youre not going anywhere,Farnsworth
19691,You were late this morning So youll have to stay and test my latest invention  Behold A time travelling machine,Farnsworth
19692,Time I cant go back there,Bender
19693,Ah but this time machine only goes forward in time That way you cant accidentally change history Or do something disgusting like sleep with your own grandmother,Farnsworth
19694,I wouldnt wanna do that again,Fry
19695,Were going to test it by going forward in time one minute  Get in,Farnsworth
19696,Okay hurry Lets get it over with I can record Leelas birthday card while were in there,Fry
19697,Happy birthday Leela Im really sorry Im gonna be one minute late cause were testing the professors dumb time machine,Fry
19698,Okay Ill just nudge us forward exactly one minute into the,Farnsworth
19700,Did we go too far What time is it,Fry
19704,The year ten thousand But I promised Leela Ill be on time for dinner,Fry
19705,Relax Fry Everyone we ever knew died thousands of years ago,Farnsworth
19706,Everyone we ever knew Nah I never liked those guys,Bender
19710,Just shut up and bring me two dinners,Leela
19711,Has anyone seen Frys ass Its late for a date with my boot,Leela
19718,Fry stood me up and died  Can I be both,Leela
19720,Then thats what I am Hiyah,Leela
19721,Man the future is a total craphole Whoever lives here is a crapface sack of crap  No offence fellows,Bender
19723,Ill never see Leela again,Fry
19724,No without a backwards time machine were stuck in this craphole,Farnsworth
19726,Hold on I got it We cant go back in time but we can keep going forward until people invent the backwards time machine,Farnsworth
19727,And then we can go home,Fry
19739,We are travellers from the past my good runt,Bender
19743,Advanced in intellect you say Have you invented a backwards time machine,Farnsworth
19746,Were back for our time machine,Bender
19747,Yuhoo boys Whats this era in human history like,Farnsworth
19749,This seems like a nice future Lets just stay here We can settle down on that mountain of skulls,Bender
19750,Hey That place had a gorgeous view of Blood Lake,Bender
19752,Stupid jerks wouldnt let me stay in the good future,Bender
19753,How do you know were time travellers,Fry
19757,All right We can go home,Fry
19760,Well there is certainly no harm in a fertility banquet,Farnsworth
19761,I can eat And fertilise,Fry
19763,Oh so we can stay in the future you like But not the future I like Next,Bender
19764,No I was about to close the deal,Farnsworth
19765,Bender they had a backwards time machine,Fry
19766,The other place had a lot of good things too Did you even see that mountain of skulls,Bender
19769,Stop Somewhere some time Leelas waiting for me We need to keep looking for a backwards time machine,Fry
19771,Yes we have to work together Not have this fight which I was definitely winning,Bender
19773,I got a feeling this could be exactly the point in time weve been looking for  In fact all life is extinct,Farnsworth
19774,So lets keeping going forward,Fry
19775,Oh its no use Earth is dead This is the end of all things,Farnsworth
19776,The Cavern on the Green,Fry
19777,I made it Leela Sorry Im a billion years late,Fry
19785,Dear Fry our time together was short but it was the best time of my life,Leela
19786,You know all in all I had a good life What you say the three of us grab a six pack and watch the universe end,Fry
19788,Thats basically what I do every day,Bender
19789,To the end of the universe,Fry
19790,So long Earth Thanks for the air and whatnot,Fry
19791,Hey uh what was the purpose of life anyway,Fry
19792,Who knows Probably some hogwash about the human spirit,Farnsworth
19795,The stars are receding Oh the vast emptiness,Farnsworth
19796,Yeah yeah I can take a hint,Bender
19797,Ah the last proton should be decaying about now,Farnsworth
19799,And   here we are the end of the universe,Farnsworth
19800,Well now what You guys wanna talk,Fry
19802,Did anyone else see that,Fry
19803,Unbelievable Its a second big bang  My God is it possible,Farnsworth
19804,It must be possible Its happening By the way whats happening,Fry
19805,It appears this universe is exactly identical to the old one If so we just need to keep going forward in time to the point when we left  Ladies and gentlemen the moon,Farnsworth
19806,Look The first fish to crawl up on land,Fry
19807,It was coming right at us,Bender
19809,Im gonna grab another beer,Fry
19810,Fry Fry youre missing the dinosaurs,Bender
19811,Its okay Theyre not going anywhere  Whered they go,Fry
19812,Now whats going on there,Bender
19814,Hang on I just want to make one stop,Farnsworth
19816,Easy Easy Taking her in for a landing,Farnsworth
19817,One year to go  Six months,Farnsworth
19819,One month  Thirty seconds and here we,Farnsworth
19822,Well have to bring her around again,Farnsworth
19823,Just slow it down Ill shoot Hitler out the window  Careful,Farnsworth
19828,This new universe is about ten feet lower than our old one,Farnsworth
19829,Pow We took care of the time travel paradox,Farnsworth
19832,Oh uh Im late for dinner with Leela,Fry
19837,I have to admit I was afraid you wouldnt make it,Leela
19838,That was the old Fry Hes dead now,Fry
19839,Happy birthday Leela I got you a card but I guess I kinda lost it,Fry
19840,Thats okay I dont really like cards What Ill remember is our time together,Leela
19841,Aw Nibbler made a bobo for Mamma Ill pick it up with my superdupey poopy scoopy,Leela
19845,Not really Its highly volatile Dark Matter and some corn,Leela
19847,Nonsense Youve been my grad student for twelve years You were ready six years ago,Farnsworth
19849,I probably should have told you Anyway the important thing is to be relaxed tomorrow,Farnsworth
19851,Yes Do what you young people do to unwind Take a joyride in your jalopy Wear a Tshirt and eat a fish stick Go,Farnsworth
19854,One more teensy drink to help Amy relax,Leela
19859,A talk You cant break up with me Youre my pet,Leela
19861,Aw is shnookums not feeling schtimuwated,Leela
19863,If you want to be treated like a fellow crew member fine but no more purse rides and no more dressing you up in your cute little sailor suit,Leela
19881,He proved that 50 years ago and hes been coasting on it ever since,Farnsworth
19890,Yes tapping the Earths enerkerchoo Go on,Farnsworth
19898,Its okay Amy I dont have a fancy degree either but today Im a prominent boy in the package delivery field,Fry
19903,People please Im trying to run a business so I get to hold kitty,Farnsworth
19904,Over here I wanna hold him,Fry
19905,Aw Its anus looks like an asterisk,Bender
19906,Captain Fuzzytoes reporting for duty I mean cutie,Leela
