,Characters,Quotes,Characters_consolidated
13758,LEELA,"But, my dream. Your science can't unprove that! How could I have know the gift was in Fry's locker?",LEELA
13760,LEELA,Are you saying I'm going crazy?,LEELA
13761,FARNSWORTH,"No no, no one's saying that! But I'm certainly thinking it loudly.",FARNSWORTH
13762,FRY,"Hi Leela! I'm just gonna keep talking, even if you can't hear me. Blah blah blah, blah blah blah blah blah.",FRY
13763,LEELA,"Shut up, I can hear you. The Professor says you're just a dream.",LEELA
13764,FRY,Oh yeah?  Could a dream take you dancing in an illusion garden?,FRY
13765,LEELA,"Well yes, technically. It's still very sweet of you.",LEELA
13766,FRY,Then what if we shared a sleigh ride across the ice fields of Hiperia?,FRY
13767,LEELA,Oh Fry you must be alive! I've never been treated so romantically by my own imagination before!,LEELA
13768,FRY,"Here, take my jacket. You look a little cold.",FRY
13769,LEELA,Thank you. It's all so beautiful I forgot how many hundreds of degrees zero it must be. I just wish I could convince the others you're alive.,LEELA
13770,FRY,You can. All you have to do is wake up.,FRY
13771,LEELA,No no! Don't say that! This is real!,LEELA
13772,LEELA,Not another dream!  Fry's jacket! The one he was buried in! My dream was real! He's alive!,LEELA
13774,LEELA,Fry's alive! I have proof!,LEELA
13777,LEELA,But he gave me his jacket. Look.,LEELA
13778,FARNSWORTH,That's not Fry's jacket. Fry's jacket is red! That's your jacket. An off the rack lime green affair.,FARNSWORTH
13779,LEELA,But Fry...his jacket...and when I woke up it was on me.,LEELA
13781,LEELA [SQUEEZING],I am not under stress dammit!,LEELA
13784,LEELA,Oh. Maybe I am freaking out a little.,LEELA
13785,BENDER,A little? You're screwier than my Aunt Rita! And she's a screw!,BENDER
13786,LEELA,I need to calm down. I'd better take some more of that space honey.,LEELA
13787,FARNSWORTH,You've been taking space honey? Be careful you purple haired imbecile!,FARNSWORTH
13790,LEELA,"One spoonful to calm me down.  OK, I've got a pretty good calm going! Two spoonfuls to help me sleep.  Uh oh, still awake. I guess one more spoonful couldn't hurt. Oh my gosh! I'd better get a sponge! Fry?  Is that you? I don't need a sponge!",LEELA
13791,FRY,Why and I sticky and naked? Did I miss something fun?,FRY
13792,FARNSWORTH,"Incredible! According to the gizmometer, Fry touched the royal jelly in the space hive, leaving an imprint of his DNA and brainwaves. Then, when it spilled on the couch, it recombined with trace amounts of Fry's hair and skin -",FARNSWORTH
13793,BENDER,And blood! Don't forget about Fry's blood!,BENDER
13794,FARNSWORTH,"Yes Bender, thank you. In short, the various fluids Fry left in the couch caused the royal jelly to regenerate his entire being!",FARNSWORTH
13796,BENDER,This is great! My buddy's alive and his credit cards are valid again!  Lets go get hammered!,BENDER
13798,LEELA,"Fry, I'm so glad I didn't kill you.",LEELA
13800,LEELA,Feeling responsible for your death was driving me mad. But now everything is alright.,LEELA
13802,LEELA,What? What do you mean?,LEELA
13804,LEELA,Wake up? Oh no! No! It can't be!,LEELA
13806,LEELA,"I'm cracking up. In my dreams I'm happy because Fry is alive, but when I'm awake my mind plays tricks on me.",LEELA
13809,BENDER,But when you worry you make it double.,BENDER
13810,FARNSWORTH (SINGING),The landlord says your rent is late...,FARNSWORTH
13820,BENDER (SINGING),Take us home Bender! Don't worry!,BENDER
13823,LEELA,"Uh, were you just singing?",LEELA
13824,BENDER,No I was telling you not to worry. I'm not allowed to sing - court order.,BENDER
13825,LEELA,"I'll find Fry's coffin, take his corpse and keep it under my mattress to remind me he's really dead. That'll prove I'm not insane.",LEELA
13826,LEELA,"OK, it's just an ordinary coffin. Containing my ordinary dead friend, who I killed.",LEELA
13827,LEELA,What happened? Why am I in my apartment?,LEELA
13830,LEELA,"OK, I'm insane! But I'm still sane enough to know it.  The only time I feel alright is in my dreams. With you.  Three spoonfuls. Then I can dream forever.  One.  Two Here goes. Goodbye waking world.",LEELA
13831,FRY'S PHOTO,"Leela! No!  Listen to me, you don't want to lie in bed like a vegetable and do nothing the rest of your life. I've tried it. Bedsores hurt!",FRY
13832,LEELA (CRYING),Then what am I s'posed to do?,LEELA
13835,FRY'S PHOTO,You can! The Leela I know doesn't give up this easily.,FRY
13836,LEELA,OK. I'll try.  Go away!,LEELA
13837,FRY'S PHOTO,I don't know if you can hear me Leela but there's something I wanna tell you. I love you.,FRY
13838,LEELA (CRYING),I'm so scared Fry I don't know what to do.,LEELA
13839,FRY'S PHOTO,Just wake up Leela. Please. Just wake up.,FRY
13840,LEELA (CRYING),I don't understand what you mean!,LEELA
13841,FRY (CRYING),Just wake up. Please. Just wake up Leela.,FRY
13844,LEELA,Of course I'm awake. You wouldn't stop waking me.  Where am I?,LEELA
13845,FRY,In the hospital. The ambulance brought you here right after the bee stung you.,FRY
13846,LEELA,But the bee stung you. It barely touched me.,LEELA
13847,FRY,Stinger went right through me and you got all the poison. My new spleen came from a guy who liked to motorcycle.,FRY
13849,BENDER,You were in the best coma I've ever seen!,BENDER
13851,LEELA,Really? How long was I out?,LEELA
13854,FRY,"I though that if you heard a familiar voice, it might help keep your mind together. But, who knows if it really got through.",FRY
13855,LEELA,It got through Fry.  It got through.,LEELA
13858,FRY (SHOUTING),"I know you've rejected me a lot before but frankly I wasn't sure we were right for each other either, but now I am! So how 'bout a date tonight?",FRY
13859,LEELA,"(shouting): Sorry I think I, um, I think I left my toaster on.",LEELA
13860,FRY (SHOUTING),"C'mon Leela, what's the real reason you won't go out with me?",FRY
13861,LEELA (SHOUTING),"Look, I'm embarrassed to admit this but you forced me to. I can't go out tonight because ......I have sweaty boot rash!",LEELA
13863,FRY,"So, will you go out with me?",FRY
13864,FARNSWORTH,"Good news everyone, I'm still technically alive! Yes!  But I need to you to dispose of this crazy ass experiment that almost killed me.  You'll have to throw it into the sun itself, for only the thermonuclear inferno of the sun has enough energy to ensure its total destruction!",FARNSWORTH
13865,BENDER,I can hit it with a shovel!,BENDER
13866,FARNSWORTH,That's not good enough.,FARNSWORTH
13867,BENDER,This one time I pounded a guy into the ground like a stake with a shovel!,BENDER
13870,FARNSWORTH,No peeking!  I don't know what's in there but I'm sure our minds would be unable to comprehend -,FARNSWORTH
13872,FARNSWORTH,"I don't care.  Listen well: No matter what happens, no matter how great your curiosity, you are forbidden to look in this box. Forbidden!  Pretty tantilising though!",FARNSWORTH
13873,FRY,Whatever's in there it's the only thing I've ever wanted.,FRY
13876,LEELA,Right! If they try to look in the box.,LEELA
13878,FRY,Let's just forget about the box. The Professor said to stay away.,FRY
13879,BENDER,"Fry, how can you be so naive? He was joking. Get it?",BENDER
13881,BENDER,That's what makes it so funny!  OK he wasn't joking now shut up and follow me.,BENDER
13882,FRY [FROM VENT],Ow it's hot! The butter in my pocket is melting!,FRY
13883,BENDER,We thank you Bender for the gift we are about to receive!,BENDER
13884,FRY,Tangled up Christmas lights! We can take shifts untangling them!,FRY
13885,BENDER,Unlabled booze! Widemouth too!,BENDER
13886,LEELA,That oughta keep those dopes occupied. I can guard the real box in peace now that no one's curious about it.,LEELA
13887,LEELA,"Well, I got through the night and no one looked in the box. Not even me. The person who gave up her whole evening to watch it. A whole evening of TV gone. What a mockery of justice it is that I can't take even a little tiny peek! I need coffee.  OK. Heads I look, tails I don't.  Oh yeah! Heads! I mean - alright then!  No. I have a duty not to look. But then again, I promised the coin I would.  Oh it's deep. Deeper than a small box should be.",LEELA
13888,LEELA,Ouch! My lawyer will hear about this!,LEELA
13889,FRY 1,"Leela, what have you done?",FRY
13890,LEELA,"Nothing. What do you mean ""why was I looking in the box?""",LEELA
13891,FRY 1,I mean your hair. It's all different-y.,FRY
13893,BENDER 1,You know it! Large and in charge!,BENDER
13894,FARNSWORTH 1,"Leela? Oh, there's a woman for you! Always dying her hair instead of not looking in a box.",FARNSWORTH
13895,LEELA,I didn't dye my hair. This is how I always look.,LEELA
13896,BENDER 1,"No, that's how you always look.  This throws my entire perception of reality into question. Clone? Robot? Or long lost twin? Taking all bets! I also offer video poker!",BENDER
13897,FRY 1,It's some guy wearing a Leela costume! Get him!,FRY
13898,LEELA,Hold it! You have this all wrong. I just fell into the box and then I fell out somehow.,LEELA
13900,FARNSWORTH 1,"No wait, I've got it! I know what's in the box. Oh I've been as dumb as Fry!",FARNSWORTH
13902,FARNSWORTH 1,It contains a parallel universe! And when you create a parallel universe it's almost always populated by evil twins!,FARNSWORTH
13903,LEELA,"No look, I am not evil. My loan officer said so.",LEELA
13904,FARNSWORTH 1,Oh you'd like us to believe that wouldn't you Leela? Or should I say Eveela?,FARNSWORTH
13905,BENDER 1,Oh this is awful. Somewhere there's a Bender more evil than me. I do my best dammit!,BENDER
13906,FARNSWORTH 1,Leela?  The good Leela.  I want you to snoop around the other universe and find out how evil they are.  Here.,FARNSWORTH
13907,LEELA,I tell you they're not evil. But don't be confused. They are jerks.,LEELA
13908,LEELA 1,Come out of your universe with your hands up!,LEELA
13909,FRY,Oh wow. It's like that drug trip I saw in that movie when I was on that drug trip.,FRY
13910,FARNSWORTH,Astonishing. I must have created a parallel universe!,FARNSWORTH
13911,FARNSWORTH 1,Baldercrap! I created your universe! All you created was my fist parallel to your face!,FARNSWORTH
13913,LEELA,Look. It doesn't matter who created what. The important thing is - yah!,LEELA
13914,LEELA 1 (WHISPERING),"We're exactly the same. I know all her moves. Therefore, I've got the upper hand.",LEELA
13915,FARNSWORTH 1,"Now now, perfectly symmetrical violence never solved anything.",FARNSWORTH
13916,FARNSWORTH,Let's recap what's happened so far. As you can see I accidentally created a box containing your universe.,FARNSWORTH
13917,FARNSWORTH 1,"While I, in a simultaineous blunder created a box containing your universe.",FARNSWORTH
13918,LEELA,"This is getting confusing. Why don't we call our universe ""Universe A"" and this universe ""Universe B""?",LEELA
13919,BENDER 1,"Hey, why can't we be universe A?",BENDER
13923,FRY,"We called it first. Besides, this place kinda feels like a ""B"" y'know?",FRY
13924,LEELA 1,"Alright, you can be crummy universe A. And we'll be universe 1!",LEELA
13925,FRY 1,"Or ""The Mongooses,"" that's a cool team name. The Fighting Mongooses!",FRY
13926,FARNSWORTH,Wait a minute. If our universes are identical then why did our Leela look into the box and your Leela didn't?,FARNSWORTH
13927,LEELA 1,Well to be honest I tossed a coin. It came up tails so I didn't look.,LEELA
13928,LEELA,That's weird. Mine came up heads so I did.,LEELA
13929,FARNSWORTH,Interesting. Apparently the key difference between our universes is that coin flips have opposite outcomes.,FARNSWORTH
13930,BENDER,That explains fruity here!  I tossed a coin to pick my finish. Foghat grey!,BENDER
13931,BENDER 1,Hey! Bite my glorious golden ass!,BENDER
13932,FARNSWORTH,Your people and your slight differences disgust me. I'm going home. Where's that blue box with our universe in it?,FARNSWORTH
13933,FARNSWORTH 1,Oh you'd like to get back to your evil universe wouldn't you? And destroy your box with our universe inside it.,FARNSWORTH
13934,FARNSWORTH,Nonsense! I would never do such a thing unless you would already have been going to do that!,FARNSWORTH
13937,FARNSWORTH 1,"In any case, I've hidden the box and it will remain hidden unitil I'm convinced you're not evil!  Everyone, keep an eye on your evil counterpart.",FARNSWORTH
13938,FARNSWORTH,And you all do the same!,FARNSWORTH
13939,LEELA 1,"Um, can Fry and I watch our parallel selves together? We have plans tonight.",LEELA
13941,FRY 1,Oh no no no. We're married.,FRY
13942,BENDER,I've got my eye on you boy!,BENDER
13943,BENDER 1,Don't even think about it lunch-pail! You'd be dead before you hit the ground!,BENDER
13944,BENDER,Good point. Whatyya say we just hit a strip joint?,BENDER
13945,BENDER 1,"I was waitin' for one of us to say that! Bender A, you're a prince among robots! Can you forgive me for distrusting you?",BENDER
13946,BENDER,"Aw, I can't stay mad at what is essentially me. I love me!",BENDER
13951,LEELA,"So Fry, Leela, how'd you two get together?",LEELA
13952,FRY 1,Funny story. I asked Leela out a million times and she just kept rejecting me.,FRY
13953,LEELA 1,"I'd make up things like ""I have sweaty boot-rash"" or ""I have to meet the President""!",LEELA
13954,FRY 1,"Oh man, you never heard such excuses! But, like a dope, I believed her. Looking back on it now it's kinda funny!",FRY
13955,FRY (SARCASTIC),"It sure is, right Leela? Funny. Ha ha ha ha!",FRY
13956,LEELA 1,Then one night when Fry asked me out the only excuse I could think of involved ghosts. I knew he wouldn't buy it so I did what I always do in those situations.,LEELA
13958,LEELA 1,I flipped a coin. It came up heads and we went out.,LEELA
13959,FRY,You mean you flipped the coin too? And it was tails? So that's why you said you had to meet that ghost.,FRY
13960,LEELA 1,You really missed out on something Leela. That date was magical.,LEELA
13961,FRY 1,"One year later I gave Leela a diamond scrunchy, and we were married.",FRY
13963,FRY,One year later I got beat up at a Neil Diamond concert by a guy named Scrunchy!,FRY
13964,FARNSWORTH 1,Well that was pointless.,FARNSWORTH
13965,FARNSWORTH,"Say, I hope you won't think it ""evil"" of me to ask how you got that stylish head wound!",FARNSWORTH
13966,FARNSWORTH 1,Oh this old thing? I was experimenting to see if I could remove my own brain!,FARNSWORTH
13967,FARNSWORTH,Of course! I had the same idea! I flipped a coin to decide if I should proceed but it came up tails - so I didn't. How'd it go?,FARNSWORTH
13968,FARNSWORTH 1,Well getting the brain out was the easy part. The hard part was getting the brain out!,FARNSWORTH
13980,FARNSWORTH,"After carefully reading the scriptures, we've concluded that none of us are evil!",FARNSWORTH
13981,FARNSWORTH 1,"Yes, the Bible is the real good news! Anyhow, you're all free to go back to your own universe.",FARNSWORTH
13983,LEELA 1,"Hermes, aren't you confused about the fact thats there's two of everybody?",LEELA
13985,FARNSWORTH 1,Your granny can go to hell! I've hidden the box so that no one can destroy the home universe of my handsome friend here!,FARNSWORTH
13986,FARNSWORTH,Oh go on! Wait a second. If your Hermes was about to destroy the box containing our universe...,FARNSWORTH
13990,LEELA,So we go through the box and stop Hermes?,LEELA
13991,FARNSWORTH,Right. Good thing Professor B there hid it in the sealed clam tank. No one but a crazy lobster would look there!,FARNSWORTH
13996,BENDER 1,Our universe is doomed!,BENDER
13998,FARNSWORTH 1,Now don't give up yet you cry babies. The box is gone but we still have one preposterously slim hope.,FARNSWORTH
14000,FARNSWORTH,No. We must attempt to create another box containing our universe! Doy!,FARNSWORTH
14001,FRY 1,Well? Is that your universe in there?,FRY
14004,FARNSWORTH 1,Yes it's the apocalypse alright. I always thought I'd have a hand in it!,FARNSWORTH
14005,BENDER 1,"I'm not sad. Because I finally found someone as great as me! It's like I always say: ""Make new friends and keep the old. One is silver...""",BENDER
14006,BENDER,"""...and the other's gold!""",BENDER
14008,LEELA 1,The idiots have the box!,LEELA
14012,FARNSWORTH 1,"We'll have to search a universe. Everyone, grab a length of wire first so you can find your way back.",FARNSWORTH
14015,FRY,"Yo, did two shellfish in scrubs go by?",FRY
14019,LEELA,"Uh, have you robot versions of yourselves seen any extra Zoidbergs around here?",LEELA
14021,BENDER 1,Hey man look what I snagged from the leprachaun universe!,BENDER
14022,BENDER,Yeah leprachaun universe is fine...if you haven't seen pirate universe!,BENDER
14027,FARNSWORTH 420,"Baby they're somewhere, everything's like somewhere! Place is kinda au natural right now.",FARNSWORTH
14030,FARNSWORTH 420,Dig it! All of you living in this boxed is like seriously freaked up!,FARNSWORTH
14031,FARNSWORTH,"Nonsense, why there's a whole universe in there.",FARNSWORTH
14032,FARNSWORTH 420,"Dude, there's a universe in all of us.",FARNSWORTH
14034,FARNSWORTH,Get a job! (shouting into the parabox) We've got the box. Everyone pull your wires.,FARNSWORTH
14035,FARNSWORTH,Hurry! Back to Universe A!,FARNSWORTH
14036,FARNSWORTH,Hermes don't press that button!,FARNSWORTH
14039,FRY,"There but for the flip of a coin go we. So uh Leela, seeing how the universe wasn't destroyed, you wanna catch an ape fight? Y'know? Together?",FRY
14040,LEELA,"Well, I guess you deserve one more flip.",LEELA
14042,LEELA,"Y'know, lets just say it's heads.",LEELA
14044,FARNSWORTH,There. That space-time inversion has given us their box and vice-versa!,FARNSWORTH
14045,LEELA,So what you think you just explain to us is that -,LEELA
14046,FARNSWORTH,Correct! This box contains our own universe!,FARNSWORTH
14048,LEELA,"Bender, quit destroying the universe!",LEELA
14050,FARNSWORTH,"Yes, all that is and ever shall be is in that box! And the box itself is probably worth something too. We must cherish it, as we cherish every moment of our lives.",FARNSWORTH
14057,BENDER,What to do what to do? One $300 hookerbot or 300 $1 hookerbots?,BENDER
14058,LEELA,I'm going to swim with the whale! They're the gentle giants of the deep.,LEELA
14059,FARNSWORTH,I'm well aware of that.,FARNSWORTH
14064,FRY,"That's it! I'm getting a hundred cups of coffee! Starting now.  Coffee machine, one cup of coffee please.",FRY
14071,LEELA,What little there is to be had.,LEELA
14080,FARNSWORTH,As a man it has become too much of a chore for me to clean out my wrinkles each day. Is it true that stem cells may fight the aging process?,FARNSWORTH
14082,FARNSWORTH,One pound of stem cells please.,FARNSWORTH
14084,BENDER,"Say buddy, why's this grand cigar so pricy?",BENDER
14086,BENDER,Give me 300 bucks worth!,BENDER
14088,BENDER,"Oh alright, I'll just take these $300 burglars tools then.",BENDER
14090,BENDER,"So uh, what time d'you close tonight?",BENDER
14098,FARNSWORTH,Hey! Turn that damn music......up!,FARNSWORTH
14104,LEELA,I'd like a pass to swim with Mushu please.,LEELA
14106,LEELA,Then why'd you become a whale biologist?,LEELA
14108,FRY,"Uh, I'll have a coffee.",FRY
14125,LEELA,"Hmm, this may seem like a huge coincidence but I happen to have it in with that whale!",LEELA
14128,FRY,Yeah yeah yeah keep it comin' put the pot down get away!,FRY
14130,FARNSWORTH,The key is to grab life by the hojos! Live every day like it might be your last!,FARNSWORTH
14132,FARNSWORTH,One bowl of mild verena.,FARNSWORTH
14138,BENDER,Le Grand Cigar! She's mine! And with absolutely no consequences!,BENDER
14143,FRY (SHOUTING),This isn't Yemeni! It's Sulowesi!  And the cup's shaking I don't want my coffee shaking!,FRY
14144,BENDER,You seem a tad wound up buddy. And your face is greasy! Real greasy. You been up all night?,BENDER
14145,FRY,Of course I've been up all night! Not because of caffine it was insomnia I couldn't stop thinking about coffee I need a nap.  Coffee time!,FRY
14146,BENDER,Ah! Mighty fine smokable!,BENDER
14147,FRY,Fancy cigar why don't you smoke it already? Puff puff go go go go go!,FRY
14148,BENDER,"Nah, you can't blow smoke from such a majestic stogy in just anyone's face. I'm saving it for the fancy pants at Zapp Brannigan's black tie reception. You comin'?",BENDER
14152,LEELA,"OK Mushu, its feeding time!  Oh crud, he ate my suit!",LEELA
14184,FARNSWORTH,"Wha?  Uh, gotta go, uh fight club!",FARNSWORTH
14186,FARNSWORTH,I'm afraid the face you fell in love with was actually just a blob of living gunk I bought with my tax refund.,FARNSWORTH
14188,FARNSWORTH,That certainly is honest.,FARNSWORTH
14190,FARNSWORTH,"You, fat as the Queen of Seacows.",FARNSWORTH
14209,FARNSWORTH,We're trapped my sweet hippopotamus!,FARNSWORTH
14210,FRY,Coffee coffee coffee coffee coffee coffee coffee coffee coffee coffee!,FRY
14213,LEELA,I think we were saved by a mysterious orange blur.,LEELA
14224,LEELA,At least we got a few mildly interesting stories out of it.,LEELA
14226,BENDER,"Speaking of which, my story kinda peetered out without me learning a lesson!",BENDER
14231,FARNSWORTH,Oh Lord. Hiking is always such a strain on the buttocks.,FARNSWORTH
14232,FRY,Shh! What was that sound?,FRY
14233,BENDER,"It wasn't a bird's nest falling. That sounds like this.  Aww, they're so cute when they're scared!",BENDER
14234,FRY,I meant the sound Bigfoot just made. He's been sighted a lot in this area recently. Just last week a blind hiker felt him!,FRY
14235,FARNSWORTH,Don't tell me you actually believe in Bigfoot you blathering ninny-hammer!,FARNSWORTH
14236,FRY,"Of course I do! Bigfoot's my hero. Growing up, he was the celebrity I most identified with.",FRY
14238,FRY,'Cause he was a loner who hated the popular monsters yet longed to be one.,FRY
14240,LEELA,"Ugh, enough emotions! This isn't a fat camp for God sake. (quietly) Though you wouldn't know it from looking.",LEELA
14243,BENDER,"Nah, I'm comfy out here under the stars. Real comfy!",BENDER
14252,FARNSWORTH,(shouting) Bunk! Bunk I say! Bring me a bag full of Bigfoot's droppings or shut up!,FARNSWORTH
14256,BENDER,Eh he's gone. He says you should keep wasting your life though.,BENDER
14260,FRY,"Sir, if I may, why don't you set up like a billion video cameras in the woods and see if he walks by one.",FRY
14262,BENDER,Hey look! Bigfoot! He's back!,BENDER
14264,BENDER,Up your face!  Everybody do the Bender!,BENDER
14269,FRY,You doin' alright out there buddy?,FRY
14270,BENDER,Better than these gnats!  That guy won't be goin' home to his kids!,BENDER
14271,BENDER,"Who's that? A wolf? Or some kind of boogen? Oh God I wish I was safe inside a tent.  (deep voice) Fry, Fry wake up! It's me! Bigface!",BENDER
14273,FRY,"Bigfoot? Is that you? I'm not like the others Bigfoot. I see through your monster coatings to the gentle loner inside. I bet you have a wounded racoon friend that you tenderly nurse back to health and go......and in the end they shoot you. But you teach us about things. Oh, it's a flying saucer. (shouting) Excuse me? You can't park here. The parking area's over there.  Wow nice tube!  Hey. Hey what's the big idea? Stop abducting me. Why does your vanity plate say ""Probe 1""?",FRY
14274,LEELA,"There's nothing so refreshing as the clean, crisp taste of old Canadian beer!",LEELA
14277,LEELA,"Bender raises a good point, where is Fry?",LEELA
14278,FRY,"Amy, you won't believe what happened......it was so scary that you wouldn't -  I know but listen it gets even scarier.",FRY
14279,FARNSWORTH,Fry! What in Sega Genesis happened to you?,FARNSWORTH
14280,FRY,That's what I'm trying to tell you. See -  Why are you all staring at me like that? Is there something on my face?,FRY
14282,LEELA,Someone should tell him.,LEELA
14287,BENDER,"Aww, I think it's sweet! You chopped off your nose so you could look more like your hero. Me, Bender!",BENDER
14289,FRY,"In the woods, I was walking. For Bigfoot, looking and then aliens beamed me up.",FRY
14292,FRY,I'm a pathetic freak. My life is ruined.,FRY
14294,FRY,I'll never have another moment of happiness.,FRY
14295,LEELA,I know you're trying to mask your pain with humour but don't worry. I'm sure the Professor can clone you a new nose.,LEELA
14296,FARNSWORTH,Well there's no sense fretting. Good Lord you're ugly! The fact is your nose is gone and we'll never find out who did it or why.,FARNSWORTH
14297,BENDER,"(gasping) Guys, guys! There's something on television.",BENDER
14302,FRY,My nose is an aphrodisiac?  I'm gonna drop a barf!,FRY
14304,FRY,Blech! We have to track down my nose before some alien snarfs it and does the worm. Who's in?,FRY
14305,LEELA,Me and Bender and maybe Zoidberg if he feels like it.,LEELA
14308,FRY,"It's no use. We've been to ever scuzzy bazaar in the galaxy, including Pottery Barn.",FRY
14311,FRY,"Uh, I'm looking for human horn.",FRY
14313,LEELA,Of course not. In fact he's a crook.,LEELA
14314,BENDER,Yep. Stolen Pez anyone?,BENDER
14317,FRY,"Nope, uh-uh, eww!  Now look, this is the nose we want. Did you sell it to somebody?",FRY
14320,LEELA,That's Lrrr! Ruler of the planet Omicron Persei 8!,LEELA
14326,BENDER,Yep. That's exactly the lie we used to get past your guards.,BENDER
14327,FRY,Oh great space king. I humbly beg you to return my human horn.,FRY
14331,LEELA,"Whoa, you guys have issues!",LEELA
14333,FRY,(sadly) Alright. I give up. I guess I'll just go home and marry a skunk.,FRY
14335,FRY,My nose! Light of my face!,FRY
14337,LEELA,Hold still Fry. I can reattach it with my emergency face laser.,LEELA
14338,FRY,Hey! You burned my cheek!,FRY
14339,LEELA,Yeah sorry I wasn't really concentrating.,LEELA
14340,FRY,"No I mean the singed flesh, I can smell it!  Those lilacs on the table.",FRY
14344,FRY,"Well, great seeing you, I guess we'll be on our -",FRY
14345,BENDER,"Yo, highness! Uh, just out of robo-curiosity, why would you use a guy's nose for an aphrodisiac instead of his...you know...wing dang doodle?",BENDER
14347,BENDER,"No sir-chee! The main event, so to speak, is downstairs near the wallet. Ever seen soccer players line up to block a free kick? They ain't covering their noses I'll say that much! Well, seeya!",BENDER
14349,FRY,"Hey, what've you heard?",FRY
14351,FRY,"OK, you can have my nose.",FRY
14358,FRY,Wait! I'm usually the first guy to toot my own lower horn -,FRY
14360,FRY,But in this case I just don't think it'll do any good.,FRY
14361,BENDER,(shouting) That's what she said!,BENDER
14362,LEELA,Let's face it. You two have deep relationship problems that can't be solved by an aphrodisiac.,LEELA
14363,FRY,However huge it might be.,FRY
14365,LEELA,"Well, why don't you think back to what brought you together in the first place?",LEELA
14372,FRY,Wh-What if we helped you get your passion back without the hassle of mutilating me?,FRY
14373,LEELA,"Yeah, we know a great place in the mountains. We could take you there for a romantic dinner under the stars.",LEELA
14376,FRY,Then it's a deal. We get one night. I keep my horn as long as you two end up doing the horizontal monster mash.,FRY
14378,BENDER,Bonjour. May I offer you a box of wine for the edge of the table?,BENDER
14382,FRY,"So, what can I get you this evening?",FRY
14384,FRY,"I'll just start you off with some bread. Some sexy, arousing bread!",FRY
14389,BENDER,(shouting) It's used to it!,BENDER
14390,FRY,"So uh, how are you two sneaky poopums doing?",FRY
14393,BENDER,"Boy, who knew a cooler could also make a handy wang coffin?  Hey, uh mind if I stick these in here?",BENDER
14395,LEELA,Don't worry Fry. Things look bad but I still have a trump card. The most beautiful love song ever written.  (singing badly) And I will always love you......will always love you...,LEELA
14399,FRY,"Come on freedom cage! Roll me to safety! Yes! I never thought I'd escape with my doodle, but I pulled it out!",FRY
14400,BENDER,(shouting) Just like at the movie theatre!,BENDER
14402,FRY,Bigfoot! He's real! I knew it. The Loch Ness Monster's book was right!,FRY
14406,BENDER,What are you doing with that?,BENDER
14416,BENDER,"(shouting) In this case ""small""!",BENDER
14420,LEELA,"Well Fry, it looks like you get to hold onto your lower horn.",LEELA
14421,BENDER,As usual!  (shouting) Run away!,BENDER
14426,FRY,So who should I root for? America or one of those countries I learned about at the Food Court?,FRY
14428,LEELA,"No, they're from the Republic Of French Stereotypes. Everybody hates them.",LEELA
14429,FARNSWORTH,"Oh, let's go check on Hermes. All this inspiring multi-culturalism is angrying up my blood.  Sweden? I don't think so!",FARNSWORTH
14432,LEELA,It does seem like Jamaica will be able to field a strong limbo team without you.,LEELA
14437,FRY,"But have they seen your...y'know...physique, since the old days?",FRY
14439,FARNSWORTH,"Don't worry, the fat pig will do fine thanks to this flabbo-dynamic spandex bodysuit I've designed.  It redistributes his weight, shifting his centre of gravity closer to his knees.",FARNSWORTH
14441,FARNSWORTH,Now that's a limboer's body!,FARNSWORTH
14443,BENDER,"Shut up Zoidberg, the robot bending events are starting!  Something tells me I could easily beat those trained professionals.",BENDER
14444,BENDER,"Wow, that guy must have to be like the world's greatest bender. My dreams of glory died before they began.",BENDER
14454,FARNSWORTH,"(shouting) Go bodysuit, go!",FARNSWORTH
14460,BENDER,"Well enough about Hermes, I couldn't win a medal either. Even at bending - the thing I was built to do. I'm so embarassed. I wish everybody else was dead.",BENDER
14462,BENDER,"Fembots?  Methinks a clever Manbot suitably disguised might win those events! But the charade would require subtlety, nuance, grace.",BENDER
14463,BENDER,"What do you mean I'm not registered? My name is Coilette and I'm from, uh...Robonia! Coilette's a chick's name!",BENDER
14465,BENDER,Ever been beaten up by a guy dressed like a chick?,BENDER
14469,BENDER,"I'm great! Everybody else sucks, except that guy Bender, he's really somethin'!",BENDER
14470,LEELA,You actually thought they'd let you walk away without an engine oil sex check?,LEELA
14471,BENDER,"(crying) Oh God, I'm not gonna get my medals! They're all I have to remember my Olympic career.  Wait, I've got it! Professor, make a woman out of me!",BENDER
14472,FARNSWORTH,Oh I think we should just stay friends.,FARNSWORTH
14473,BENDER,"I don't need friends, I need a sex change operation and give it to me now!",BENDER
14474,FARNSWORTH,Bender a robot sex change is a complex and dangerous procedure. Replacing your testosteroil with Fembot lubricants can cause wild mood swings. And the effects may be irreversible. Well let's get started!,FARNSWORTH
14478,FARNSWORTH,"I'm sorry ladies but I must do this. Not for you, not for Bender, but for the proud people of Robonia!",FARNSWORTH
14480,FRY,I can't watch this 'cause it's creepy and wrong and sick. However I will watch out of curiosity.,FRY
14481,FARNSWORTH,(shouting) Quiet! (talking) I'm about to begin the process of reshaping Bender's body into a tender delicate form.,FARNSWORTH
14482,FARNSWORTH,(dramatically) Draining male oil.  Infusing female oil.  Removing item.,FARNSWORTH
14488,LEELA,"I don't know which I'm more, enraged or disgusted!",LEELA
